fileName,nNodes,nEdges,DijkstraArray,DijkstraHeap,Spfa
data/Square-n.12.0.txt,4096,16128,0.003614,0.001555,0.001608
data/USA-road-d.USA.txt,23947347,58333344,589.351,18.7672,15304
data/USA-road-d.COL.txt,435666,1057066,1.10127,0.273165,6.56552
data/Long-C.15.0.txt,1048576,4063200,0.853694,0.618889,1061.44
data/Square-n.14.0.txt,16384,65024,0.021771,0.006695,0.020578
data/Random4-n.11.0.txt,2048,8192,0.007041,0.000877,0.00073
data/Random4-C.10.0.txt,1048576,4194304,7142.27,2.06536,2.23033
data/Square-C.3.0.txt,1048576,4190208,24.4145,0.894901,7.15537
data/Long-n.21.0.txt,2097152,8126432,1.76963,1.25955,5744.09
data/Square-n.10.0.txt,1024,3968,0.000628,0.000311,0.000346
data/Random4-n.14.0.txt,16384,65536,0.504729,0.009567,0.009937
data/Long-C.14.0.txt,1048576,4063200,0.755801,0.586634,2029.61
data/Long-n.13.0.txt,8192,31712,0.004201,0.002762,0.026406
data/USA-road-t.NY.txt,264346,733846,1.32697,0.169363,2.16407
data/USA-road-d.W.txt,6262104,15248146,67.2789,4.65727,1337.27
data/Square-C.8.0.txt,1048576,4190208,15.9404,0.891368,12.9114
data/Long-C.5.0.txt,1048576,4063200,0.887079,0.627615,1182.16
data/Long-C.9.0.txt,1048576,4063200,0.835846,0.615777,1033.18
data/Long-C.6.0.txt,1048576,4063200,0.808245,0.609095,1077.77
data/Square-n.15.0.txt,32761,130320,0.052707,0.013323,0.058153
data/Random4-n.15.0.txt,32768,131072,2.19909,0.020588,0.017973
data/Random4-n.19.0.txt,524288,2097152,734.123,0.887306,0.992978
data/Square-n.16.0.txt,65536,261120,0.155363,0.038511,0.227454
