fileName,nNodes,nEdges,DijkstraHeap,DijkstraPairing,Spfa
test1-1.txt,1000,1000,1.7e-05,1.5e-05,1.7e-05
test1-10.txt,1000,1000,1.5e-05,1.5e-05,2.8e-05
test1-2.txt,1000,1000,2.7e-05,2.3e-05,2.6e-05
test1-3.txt,1000,1000,2.3e-05,2e-05,1.8e-05
test1-4.txt,1000,1000,1.6e-05,1.9e-05,1.5e-05
test1-5.txt,1000,1000,1.8e-05,1.4e-05,2.8e-05
test1-6.txt,1000,1000,2.5e-05,2.4e-05,2.4e-05
test1-7.txt,1000,1000,2.3e-05,1.4e-05,1.7e-05
test1-8.txt,1000,1000,2.3e-05,2.2e-05,2.5e-05
test1-9.txt,1000,1000,2.5e-05,2.4e-05,2.4e-05
test10-1.txt,1000,10000,0.001251,0.00051,0.000635
test10-10.txt,1000,10000,0.000758,0.00044,0.000502
test10-2.txt,1000,10000,0.000707,0.000426,0.000546
test10-3.txt,1000,10000,0.000551,0.000464,0.000695
test10-4.txt,1000,10000,0.000603,0.000556,0.000632
test10-5.txt,1000,10000,0.000775,0.00044,0.000525
test10-6.txt,1000,10000,0.000568,0.000593,0.000602
test10-7.txt,1000,10000,0.000583,0.000436,0.000514
test10-8.txt,1000,10000,0.000574,0.000443,0.001027
test10-9.txt,1000,10000,0.000607,0.000561,0.000537
test11-1.txt,1000,11000,0.000732,0.000456,0.000593
test11-10.txt,1000,11000,0.000689,0.000462,0.000539
test11-2.txt,1000,11000,0.00071,0.000501,0.000529
test11-3.txt,1000,11000,0.00094,0.000595,0.000516
test11-4.txt,1000,11000,0.00079,0.000638,0.000597
test11-5.txt,1000,11000,0.000705,0.000532,0.000534
test11-6.txt,1000,11000,0.000618,0.000484,0.000531
test11-7.txt,1000,11000,0.000571,0.000558,0.000631
test11-8.txt,1000,11000,0.000587,0.000575,0.000596
test11-9.txt,1000,11000,0.000816,0.000477,0.000515
test12-1.txt,1000,12000,0.000647,0.000542,0.000538
test12-10.txt,1000,12000,0.000613,0.000542,0.000752
test12-2.txt,1000,12000,0.001039,0.000591,0.000585
test12-3.txt,1000,12000,0.000728,0.000576,0.000568
test12-4.txt,1000,12000,0.000604,0.000518,0.000547
test12-5.txt,1000,12000,0.000725,0.000646,0.000573
test12-6.txt,1000,12000,0.000621,0.000599,0.000725
test12-7.txt,1000,12000,0.000655,0.000758,0.000569
test12-8.txt,1000,12000,0.000643,0.000522,0.00058
test12-9.txt,1000,12000,0.000593,0.000606,0.000644
test13-1.txt,1000,13000,0.000965,0.000738,0.000665
test13-10.txt,1000,13000,0.000617,0.000538,0.000683
test13-2.txt,1000,13000,0.000635,0.00047,0.000692
test13-3.txt,1000,13000,0.000684,0.000518,0.000605
test13-4.txt,1000,13000,0.000624,0.00058,0.000709
test13-5.txt,1000,13000,0.000724,0.000469,0.000561
test13-6.txt,1000,13000,0.000598,0.000637,0.000808
test13-7.txt,1000,13000,0.00077,0.000507,0.000619
test13-8.txt,1000,13000,0.000642,0.000506,0.000731
test13-9.txt,1000,13000,0.000851,0.000548,0.000557
test14-1.txt,1000,14000,0.000652,0.000477,0.000613
test14-10.txt,1000,14000,0.000693,0.000496,0.000655
test14-2.txt,1000,14000,0.000622,0.000562,0.000805
test14-3.txt,1000,14000,0.000739,0.001196,0.001118
test14-4.txt,1000,14000,0.000671,0.000483,0.000794
test14-5.txt,1000,14000,0.000638,0.000579,0.000588
test14-6.txt,1000,14000,0.000686,0.000486,0.000951
test14-7.txt,1000,14000,0.000678,0.000609,0.000826
test14-8.txt,1000,14000,0.000803,0.000565,0.000577
test14-9.txt,1000,14000,0.00085,0.000733,0.00061
test15-1.txt,1000,15000,0.0008,0.00051,0.000959
test15-10.txt,1000,15000,0.000613,0.000582,0.000779
test15-2.txt,1000,15000,0.000722,0.000586,0.000746
test15-3.txt,1000,15000,0.000941,0.000504,0.001218
test15-4.txt,1000,15000,0.000619,0.000649,0.000727
test15-5.txt,1000,15000,0.000658,0.000607,0.00081
test15-6.txt,1000,15000,0.000751,0.000526,0.000758
test15-7.txt,1000,15000,0.000898,0.000488,0.000887
test15-8.txt,1000,15000,0.000642,0.000504,0.001415
test15-9.txt,1000,15000,0.000921,0.000478,0.000771
test16-1.txt,1000,16000,0.000623,0.000545,0.000735
test16-10.txt,1000,16000,0.000808,0.000575,0.000771
test16-2.txt,1000,16000,0.000762,0.000513,0.001142
test16-3.txt,1000,16000,0.000664,0.00066,0.000856
test16-4.txt,1000,16000,0.000846,0.000583,0.00093
test16-5.txt,1000,16000,0.000666,0.001001,0.001046
test16-6.txt,1000,16000,0.000859,0.000638,0.000845
test16-7.txt,1000,16000,0.000668,0.000505,0.000739
test16-8.txt,1000,16000,0.000638,0.000489,0.000818
test16-9.txt,1000,16000,0.000672,0.000542,0.000709
test17-1.txt,1000,17000,0.000914,0.000704,0.000953
test17-10.txt,1000,17000,0.000649,0.000534,0.000844
test17-2.txt,1000,17000,0.000627,0.000643,0.000922
test17-3.txt,1000,17000,0.000629,0.000518,0.000796
test17-4.txt,1000,17000,0.000656,0.000552,0.000997
test17-5.txt,1000,17000,0.000989,0.000611,0.000802
test17-6.txt,1000,17000,0.000791,0.000539,0.000837
test17-7.txt,1000,17000,0.000652,0.000532,0.000819
test17-8.txt,1000,17000,0.00073,0.000796,0.00121
test17-9.txt,1000,17000,0.000654,0.000539,0.000807
test18-1.txt,1000,18000,0.000654,0.000557,0.0017
test18-10.txt,1000,18000,0.000657,0.000526,0.000872
test18-2.txt,1000,18000,0.00074,0.000531,0.000853
test18-3.txt,1000,18000,0.000802,0.000654,0.000854
test18-4.txt,1000,18000,0.000767,0.000591,0.000946
test18-5.txt,1000,18000,0.000686,0.000535,0.00084
test18-6.txt,1000,18000,0.000802,0.000764,0.000979
test18-7.txt,1000,18000,0.000849,0.000597,0.000901
test18-8.txt,1000,18000,0.000887,0.000564,0.000863
test18-9.txt,1000,18000,0.000665,0.000561,0.001032
test19-1.txt,1000,19000,0.001073,0.00055,0.00146
test19-10.txt,1000,19000,0.00067,0.000646,0.001521
test19-2.txt,1000,19000,0.00082,0.001011,0.001078
test19-3.txt,1000,19000,0.000787,0.000605,0.001043
test19-4.txt,1000,19000,0.00083,0.00065,0.001427
test19-5.txt,1000,19000,0.000685,0.000535,0.001427
test19-6.txt,1000,19000,0.001316,0.000714,0.001415
test19-7.txt,1000,19000,0.000774,0.000712,0.001034
test19-8.txt,1000,19000,0.00078,0.000666,0.00104
