fileName,nNodes,nEdges,DijkstraHeap,DijkstraPairing,Spfa
test1.txt,100,1000,6.3e-05,5.6e-05,5.9e-05
test100-1.txt,100,1000,5.3e-05,4e-05,4e-05
test100-10.txt,100,1000,5.8e-05,4.1e-05,6.9e-05
test100-2.txt,100,1000,5.6e-05,4e-05,4.5e-05
test100-3.txt,100,1000,5.5e-05,4.1e-05,4.4e-05
test100-4.txt,100,1000,5.3e-05,3.8e-05,4.1e-05
test100-5.txt,100,1000,7.5e-05,3.9e-05,4.4e-05
test100-6.txt,100,1000,0.000169,3.7e-05,4e-05
test100-7.txt,100,1000,7.7e-05,3.9e-05,4.2e-05
test100-8.txt,100,1000,6.1e-05,6e-05,4.7e-05
test100-9.txt,100,1000,6.5e-05,4e-05,4.4e-05
test1000-1.txt,1000,10000,0.000666,0.000452,0.000526
test1000-10.txt,1000,10000,0.000613,0.000532,0.000692
test1000-2.txt,1000,10000,0.00065,0.000435,0.00056
test1000-3.txt,1000,10000,0.000692,0.000568,0.000597
test1000-4.txt,1000,10000,0.00059,0.000516,0.000614
test1000-5.txt,1000,10000,0.000645,0.000423,0.000579
test1000-6.txt,1000,10000,0.000676,0.000543,0.000736
test1000-7.txt,1000,10000,0.00058,0.000458,0.000575
test1000-8.txt,1000,10000,0.000657,0.000517,0.000533
test1000-9.txt,1000,10000,0.000671,0.000551,0.000516
test2.txt,200,2000,0.000113,7.9e-05,0.000108
test200-1.txt,200,2000,0.000107,8.1e-05,0.000105
test200-10.txt,200,2000,0.000113,9.9e-05,0.000116
test200-2.txt,200,2000,0.000101,8.1e-05,0.000106
test200-3.txt,200,2000,0.000101,8.1e-05,0.000107
test200-4.txt,200,2000,0.000147,8.3e-05,0.000105
test200-5.txt,200,2000,0.000107,8.5e-05,0.000113
test200-6.txt,200,2000,0.0001,9.5e-05,0.000127
test200-7.txt,200,2000,0.000103,8.6e-05,0.000123
test200-8.txt,200,2000,0.000107,8.3e-05,0.000107
test200-9.txt,200,2000,0.000101,7.9e-05,0.000107
test3.txt,300,3000,0.00015,0.000116,0.000232
test300-1.txt,300,3000,0.000202,0.000154,0.000258
test300-10.txt,300,3000,0.000159,0.000118,0.000152
test300-2.txt,300,3000,0.000153,0.000121,0.000151
test300-3.txt,300,3000,0.000157,0.000131,0.000153
test300-4.txt,300,3000,0.000164,0.000119,0.000178
test300-5.txt,300,3000,0.000169,0.00013,0.000152
test300-6.txt,300,3000,0.000183,0.000138,0.000159
test300-7.txt,300,3000,0.000231,0.000128,0.000208
test300-8.txt,300,3000,0.000169,0.000139,0.0002
test300-9.txt,300,3000,0.000162,0.000124,0.000155
test4.txt,400,4000,0.000211,0.000175,0.000187
test400-1.txt,400,4000,0.000215,0.000166,0.000185
test400-10.txt,400,4000,0.000211,0.00017,0.00017
test400-2.txt,400,4000,0.000216,0.000211,0.000165
test400-3.txt,400,4000,0.000214,0.000166,0.000162
test400-4.txt,400,4000,0.000213,0.000187,0.000255
test400-5.txt,400,4000,0.000244,0.000188,0.000163
test400-6.txt,400,4000,0.000252,0.000171,0.000157
test400-7.txt,400,4000,0.00023,0.000195,0.000178
test400-8.txt,400,4000,0.000289,0.000196,0.000202
test400-9.txt,400,4000,0.000244,0.000162,0.000199
test5.txt,500,5000,0.000296,0.000222,0.000288
test500-1.txt,500,5000,0.000279,0.000239,0.000321
test500-10.txt,500,5000,0.000287,0.000212,0.00034
test500-2.txt,500,5000,0.000341,0.000246,0.000324
test500-3.txt,500,5000,0.000284,0.000242,0.000328
test500-4.txt,500,5000,0.000293,0.000239,0.000274
test500-5.txt,500,5000,0.000278,0.000239,0.000326
test500-6.txt,500,5000,0.000269,0.00027,0.000283
test500-7.txt,500,5000,0.000378,0.000246,0.000338
test500-8.txt,500,5000,0.000281,0.000235,0.000353
test500-9.txt,500,5000,0.000313,0.000236,0.00028
test6.txt,600,6000,0.000346,0.000514,0.000336
test600-1.txt,600,6000,0.000416,0.00025,0.000347
test600-10.txt,600,6000,0.000376,0.00031,0.000307
test600-2.txt,600,6000,0.000474,0.000327,0.00036
test600-3.txt,600,6000,0.000386,0.000347,0.000313
test600-4.txt,600,6000,0.000379,0.000317,0.000335
test600-5.txt,600,6000,0.000488,0.000292,0.000358
test600-6.txt,600,6000,0.000411,0.000251,0.000306
test600-7.txt,600,6000,0.000323,0.00029,0.000306
test600-8.txt,600,6000,0.00037,0.000303,0.000414
test600-9.txt,600,6000,0.000326,0.000269,0.000311
test7.txt,700,7000,0.000382,0.00029,0.000339
test700-1.txt,700,7000,0.000389,0.000373,0.000342
test700-10.txt,700,7000,0.000378,0.000378,0.000356
test700-2.txt,700,7000,0.00039,0.000359,0.000407
test700-3.txt,700,7000,0.000438,0.000377,0.000366
test700-4.txt,700,7000,0.000397,0.000364,0.000406
test700-5.txt,700,7000,0.000391,0.0003,0.000413
test700-6.txt,700,7000,0.000382,0.000317,0.000382
test700-7.txt,700,7000,0.000419,0.000406,0.000347
test700-8.txt,700,7000,0.000381,0.000435,0.000361
test700-9.txt,700,7000,0.000399,0.000369,0.00035
test8.txt,800,8000,0.000635,0.000407,0.000516
test800-1.txt,800,8000,0.000444,0.000367,0.00043
test800-10.txt,800,8000,0.000502,0.000353,0.000492
test800-2.txt,800,8000,0.000495,0.00068,0.000438
test800-3.txt,800,8000,0.00069,0.00036,0.000794
test800-4.txt,800,8000,0.000486,0.000348,0.000491
test800-5.txt,800,8000,0.000469,0.00033,0.000418
test800-6.txt,800,8000,0.000452,0.00048,0.000436
test800-7.txt,800,8000,0.00056,0.000335,0.000428
test800-8.txt,800,8000,0.000533,0.000384,0.000429
test800-9.txt,800,8000,0.00047,0.000376,0.000428
test9.txt,900,9000,0.000484,0.000539,0.000606
test900-1.txt,900,9000,0.000512,0.0004,0.000498
test900-10.txt,900,9000,0.000848,0.000428,0.000517
test900-2.txt,900,9000,0.000544,0.000386,0.000499
test900-3.txt,900,9000,0.000554,0.000397,0.00053
test900-4.txt,900,9000,0.000528,0.000478,0.000506
test900-5.txt,900,9000,0.000646,0.00066,0.000508
test900-6.txt,900,9000,0.000544,0.000432,0.000506
test900-7.txt,900,9000,0.000529,0.000501,0.000529
test900-8.txt,900,9000,0.000561,0.000379,0.000499
test900-9.txt,900,9000,0.000519,0.000374,0.000999
